Rk,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
53,Chris Boucher,PF,31,20,0,292,44,97,0.454,14,37,0.378,30,60,0.5,0.526,32,39,0.821,25,53,78,8,7,10,9,36,134,bouchch01
54,James Bouknight,SG,23,1,0,5,2,3,0.667,1,2,0.5,1,1,1,0.833,0,0,,1,0,1,0,0,0,0,0,5,bouknja01
55,Jamaree Bouyea,PG,24,6,0,57,5,21,0.238,0,8,0,5,13,0.385,0.238,0,0,,2,8,10,8,0,0,8,3,10,bouyeja01
56,Malaki Branham,SG,20,21,9,426,68,163,0.417,20,67,0.299,48,96,0.5,0.479,10,11,0.909,6,22,28,43,8,3,22,29,166,branhma01
57,Christian Braun,SG,22,23,0,468,78,164,0.476,14,37,0.378,64,127,0.504,0.518,27,37,0.73,20,74,94,43,10,6,16,40,197,braunch01
58,Mikal Bridges,SF,27,21,21,731,178,361,0.493,45,119,0.378,133,242,0.55,0.555,86,100,0.86,23,104,127,83,21,12,51,36,487,bridgmi01
59,Miles Bridges,SF,25,10,8,368,74,148,0.5,21,50,0.42,53,98,0.541,0.571,33,39,0.846,9,63,72,27,15,3,15,20,202,bridgmi02
60,Oshae Brissett,SF,25,9,0,90,3,17,0.176,1,9,0.111,2,8,0.25,0.206,7,12,0.583,8,13,21,3,4,0,2,9,14,brissos01
61,Malcolm Brogdon,PG,31,15,10,422,91,221,0.412,30,79,0.38,61,142,0.43,0.48,43,54,0.796,15,45,60,91,13,3,27,19,255,brogdma01
62,Armoni Brooks,PG,25,5,0,45,6,17,0.353,5,13,0.385,1,4,0.25,0.5,0,0,,2,8,10,0,0,0,1,1,17,brookar01
63,Dillon Brooks,SF,28,19,19,594,96,198,0.485,36,85,0.424,60,113,0.531,0.576,36,43,0.837,15,51,66,33,19,1,36,76,264,brookdi01
64,Bruce Brown,SG,27,20,20,636,91,193,0.472,26,73,0.356,65,120,0.542,0.539,43,51,0.843,9,78,87,55,24,5,23,47,251,brownbr01
65,Charlie Brown Jr.,SG,26,1,0,2,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,2,0,0,brownch02
66,Jaylen Brown,SF,27,20,20,679,170,368,0.462,47,138,0.341,123,230,0.535,0.526,52,74,0.703,12,86,98,65,24,14,49,61,439,brownja02
67,Kobe Brown,PF,24,12,0,115,9,28,0.321,5,18,0.278,4,10,0.4,0.411,1,2,0.5,5,17,22,7,1,2,1,21,24,brownko01
68,Moses Brown,C,24,3,0,14,3,5,0.6,0,0,,3,5,0.6,0.6,0,2,0,4,1,5,1,1,1,0,1,6,brownmo01
69,Troy Brown Jr.,SF,24,17,2,262,32,69,0.464,18,46,0.391,14,23,0.609,0.594,17,20,0.85,12,35,47,16,6,2,9,15,99,browntr01
70,Jalen Brunson,PG,27,21,21,743,187,401,0.466,63,143,0.441,124,258,0.481,0.545,84,104,0.808,13,62,75,115,21,1,41,45,521,brunsja01
71,Thomas Bryant,C,26,13,3,168,27,54,0.5,0,3,0,27,51,0.529,0.5,12,15,0.8,13,36,49,8,6,4,12,17,66,bryanth01
72,Kobe Bufkin,SG,20,2,0,4,0,3,0,0,1,0,0,2,0,0,1,2,0.5,1,1,2,0,0,0,0,0,1,bufkiko01
73,Reggie Bullock,SF,32,9,0,82,5,15,0.333,4,13,0.308,1,2,0.5,0.467,1,1,1,2,11,13,3,1,1,2,7,15,bullore01
74,Alec Burks,SG,32,15,0,288,43,123,0.35,29,79,0.367,14,44,0.318,0.467,42,48,0.875,8,28,36,27,5,4,7,23,157,burksal01
75,Jared Butler,SG,23,9,0,63,8,22,0.364,3,12,0.25,5,10,0.5,0.432,6,7,0.857,0,7,7,13,4,1,7,11,25,butleja02
76,Jimmy Butler,PF,34,18,18,613,123,268,0.459,18,46,0.391,105,222,0.473,0.493,130,147,0.884,36,57,93,74,21,8,30,16,394,butleji01
77,Jamal Cain,PF,24,6,0,76,8,17,0.471,2,9,0.222,6,8,0.75,0.529,2,5,0.4,3,6,9,0,4,0,2,5,20,cainja01
78,Kentavious Caldwell-Pope,SG,30,23,23,779,88,192,0.458,36,87,0.414,52,105,0.495,0.552,40,43,0.93,10,34,44,61,36,10,28,47,252,caldwke01
79,Toumani Camara,PF,23,21,12,532,52,139,0.374,16,64,0.25,36,75,0.48,0.432,20,27,0.741,44,55,99,22,19,12,23,59,140,camarto01
80,Clint Capela,C,29,21,21,524,97,171,0.567,0,0,,97,171,0.567,0.567,32,52,0.615,101,119,220,23,14,35,19,53,226,capelca01
81,Jevon Carter,PG,28,23,0,325,46,119,0.387,26,73,0.356,20,46,0.435,0.496,0,1,0,2,10,12,29,12,6,15,26,118,carteje01
82,Wendell Carter Jr.,C,24,5,5,147,17,45,0.378,5,16,0.313,12,29,0.414,0.433,8,14,0.571,11,32,43,8,3,2,8,14,47,cartewe01
83,Alex Caruso,SG,29,20,9,470,67,125,0.536,32,69,0.464,35,56,0.625,0.664,24,31,0.774,25,43,68,46,26,16,27,45,190,carusal01
84,Colin Castleton,C,23,3,0,23,2,5,0.4,0,0,,2,5,0.4,0.4,2,2,1,3,3,6,2,0,0,0,5,6,castlco01
85,Malcolm Cazalon,SG,22,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0,cazalma01
86,Julian Champagnie,SF,22,14,5,204,27,74,0.365,20,53,0.377,7,21,0.333,0.5,8,11,0.727,5,20,25,13,6,10,13,14,82,champju02
87,Max Christie,SG,20,18,5,317,34,82,0.415,12,38,0.316,22,44,0.5,0.488,10,14,0.714,3,46,49,18,8,4,12,28,90,chrisma02
88,Sidy Cissoko,SF,19,1,0,4,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,1,0,0,cissosi01
89,Jordan Clarkson,SG,31,18,18,564,112,275,0.407,31,101,0.307,81,174,0.466,0.464,53,64,0.828,22,38,60,89,15,2,55,26,308,clarkjo01
90,Nic Claxton,C,24,12,12,326,64,97,0.66,0,0,,64,97,0.66,0.66,16,28,0.571,41,71,112,19,7,29,9,29,144,claxtni01
91,Noah Clowney,PF,19,1,0,3,0,0,,0,0,,0,0,,,0,0,,0,1,1,0,0,0,0,0,0,clownno01
92,Amir Coffey,SF,26,10,0,58,4,12,0.333,0,3,0,4,9,0.444,0.333,4,4,1,2,5,7,3,1,0,2,5,12,coffeam01
93,John Collins,PF,26,22,22,683,121,251,0.482,31,81,0.383,90,170,0.529,0.544,45,60,0.75,59,130,189,20,14,21,31,62,318,collijo01
94,Zach Collins,C,26,21,20,605,108,224,0.482,23,85,0.271,85,139,0.612,0.533,48,60,0.8,44,87,131,82,15,14,57,71,287,colliza01
95,Mike Conley,PG,36,21,21,625,78,177,0.441,46,110,0.418,32,67,0.478,0.571,32,33,0.97,9,54,63,129,21,2,20,39,234,conlemi01
96,Pat Connaughton,SF,31,18,0,416,38,90,0.422,20,59,0.339,18,31,0.581,0.533,8,12,0.667,12,51,63,36,9,3,14,19,104,connapa01
97,Bilal Coulibaly,SF,19,20,1,527,66,124,0.532,22,53,0.415,44,71,0.62,0.621,19,29,0.655,12,67,79,34,22,13,30,37,173,coulibi01
98,Robert Covington,SF-PF,33,20,6,360,34,77,0.442,17,46,0.37,17,31,0.548,0.552,18,21,0.857,26,44,70,18,29,15,7,39,103,covinro01
99,Robert Covington,PF,33,3,3,69,3,9,0.333,2,8,0.25,1,1,1,0.444,1,2,0.5,2,6,8,7,6,2,0,7,9,covinro01
100,Robert Covington,SF,33,17,3,291,31,68,0.456,15,38,0.395,16,30,0.533,0.566,17,19,0.895,24,38,62,11,23,13,7,32,94,covinro01
101,Torrey Craig,SF,33,23,7,488,49,112,0.438,24,61,0.393,25,51,0.49,0.545,13,15,0.867,44,71,115,26,15,9,14,55,135,craigto01
102,Jae Crowder,PF,33,9,2,240,25,47,0.532,16,31,0.516,9,16,0.563,0.702,7,12,0.583,4,31,35,15,7,3,4,14,73,crowdja01
103,Cade Cunningham,PG,22,22,22,768,179,426,0.42,45,131,0.344,134,295,0.454,0.473,81,91,0.89,11,73,84,161,21,5,95,59,484,cunnica01
104,Seth Curry,SG,33,17,1,198,28,70,0.4,15,39,0.385,13,31,0.419,0.507,7,8,0.875,8,16,24,16,10,2,5,13,78,curryse01
105,Stephen Curry,PG,35,20,20,676,179,376,0.476,102,236,0.432,77,140,0.55,0.612,128,137,0.934,14,87,101,88,14,4,71,34,588,curryst01
106,Dyson Daniels,PG,20,23,12,577,63,156,0.404,16,66,0.242,47,90,0.522,0.455,17,26,0.654,25,84,109,72,34,9,29,45,159,daniedy01
107,Anthony Davis,C,30,22,22,771,187,351,0.533,3,13,0.231,184,338,0.544,0.537,123,147,0.837,80,199,279,71,23,60,44,59,500,davisan02
108,Johnny Davis,SG,21,14,0,128,19,40,0.475,1,3,0.333,18,37,0.486,0.488,4,5,0.8,8,11,19,5,7,1,5,10,43,davisjo06
109,Dexter Dennis,SG,24,2,0,7,2,6,0.333,0,3,0,2,3,0.667,0.333,0,1,0,1,1,2,0,0,0,0,0,4,dennide01
110,DeMar DeRozan,SF,34,21,21,748,160,362,0.442,19,53,0.358,141,309,0.456,0.468,118,147,0.803,18,57,75,106,21,16,27,43,457,derozde01
111,Moussa Diabaté,C,22,9,0,55,9,18,0.5,0,0,,9,18,0.5,0.5,9,12,0.75,14,5,19,4,4,0,2,4,27,diabamo01
112,Gradey Dick,SG,20,15,1,220,17,63,0.27,10,41,0.244,7,22,0.318,0.349,14,14,1,7,15,22,15,4,0,12,23,58,dickgr01
113,Ousmane Dieng,PF,20,12,0,122,13,37,0.351,7,26,0.269,6,11,0.545,0.446,3,4,0.75,6,16,22,11,1,0,4,7,36,diengou01
114,Spencer Dinwiddie,PG,30,20,20,627,94,237,0.397,44,130,0.338,50,107,0.467,0.489,60,75,0.8,10,67,77,126,16,3,34,32,292,dinwisp01
115,Donte DiVincenzo,SG,27,21,3,428,64,152,0.421,46,108,0.426,18,44,0.409,0.572,13,19,0.684,15,44,59,36,18,6,22,30,187,divindo01
