Rk,Player,Pos,Age,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Player-additional
491,Mark Williams,C,22,19,19,508,98,151,0.649,0,0,,98,151,0.649,0.649,46,64,0.719,76,108,184,22,16,20,17,50,242,willima07
492,Patrick Williams,PF,22,23,13,581,73,169,0.432,24,71,0.338,49,98,0.5,0.503,27,38,0.711,26,70,96,30,24,22,27,37,197,willipa01
493,Robert Williams,C,26,6,0,119,17,26,0.654,0,0,,17,26,0.654,0.654,7,9,0.778,11,27,38,5,7,7,7,17,41,williro04
494,Vince Williams Jr.,SG,23,13,0,193,17,41,0.415,11,33,0.333,6,8,0.75,0.549,13,15,0.867,6,36,42,15,4,7,7,25,58,willivi01
495,Ziaire Williams,SF,22,19,8,384,54,136,0.397,23,65,0.354,31,71,0.437,0.482,21,24,0.875,12,65,77,23,9,5,23,34,152,willizi02
496,Zion Williamson,PF,23,19,19,588,167,291,0.574,2,6,0.333,165,285,0.579,0.577,86,134,0.642,36,70,106,92,21,5,52,49,422,willizi01
497,Jalen Wilson,PF,23,2,0,7,0,1,0,0,0,,0,1,0,0,0,0,,0,1,1,0,0,1,0,0,0,wilsoja03
498,Dylan Windler,SF,27,3,0,7,1,2,0.5,1,2,0.5,0,0,,0.75,0,0,,0,1,1,1,0,0,0,1,3,windldy01
499,James Wiseman,C,22,12,0,135,26,40,0.65,0,1,0,26,39,0.667,0.65,8,15,0.533,13,25,38,4,1,5,10,22,60,wisemja01
500,Christian Wood,PF,28,22,1,433,53,119,0.445,14,53,0.264,39,66,0.591,0.504,31,45,0.689,21,108,129,19,4,12,29,37,151,woodch01
501,Delon Wright,PG,31,8,0,141,11,30,0.367,4,11,0.364,7,19,0.368,0.433,14,16,0.875,3,17,20,35,13,1,4,6,40,wrighde01
502,Thaddeus Young,PF,35,3,0,10,2,4,0.5,0,0,,2,4,0.5,0.5,0,2,0,1,2,3,3,0,0,1,0,4,youngth01
503,Trae Young,PG,25,19,19,686,157,381,0.412,58,165,0.352,99,216,0.458,0.488,145,167,0.868,13,40,53,201,29,2,73,29,517,youngtr01
504,Omer Yurtseven,C,25,15,6,191,32,58,0.552,3,13,0.231,29,45,0.644,0.578,6,8,0.75,24,51,75,12,3,7,14,25,73,yurtsom01
505,Cody Zeller,C,31,19,0,184,10,33,0.303,0,1,0,10,32,0.313,0.303,13,24,0.542,22,35,57,19,4,2,6,23,33,zelleco01
506,Ivica Zubac,C,26,21,21,559,107,172,0.622,0,0,,107,172,0.622,0.622,38,64,0.594,67,125,192,19,4,31,26,58,252,zubaciv01
